	0	1	2	3	4	5	6	7	8	9
12	3.464	3.479	3.493	3.507	3.521	3.536	3.550	3.564	3.578	3.592
13	3.606	3.619	3.633	3.647	3.661	3.674	3.688	3.701	3.715	3.728
14	3.742	3.755	3.768	3.782	3.795	3.808	3.821	3.834	3.847	3.860
15	3.873	3.886	3.899	3.912	3.924	3.937	3.950	3.962	3.975	3.987
16	4.000	4.012	4.025	4.037	4.050	4.062	4.074	4.087	4.099	4.111
17	4.123	4.135	4.147	4.159	4.171	4.183	4.195	4.207	4.219	4.231
18	4.243	4.254	4.266	4.278	4.290	4.301	4.313	4.324	4.336	4.347
19	4.359	4.370	4.382	4.393	4.405	4.416	4.427	4.438	4.450	4.461
20	4.472	4.483	4.494	4.506	4.517	4.528	4.539	4.550	4.561	4.572
21	4.583	4.593	4.604	4.615	4.626	4.637	4.648	4.658	4.669	4.680
22	4.690	4.701	4.712	4.722	4.733	4.743	4.754	4.764	4.775	4.785
23	4.796	4.806	4.817	4.827	4.837	4.848	4.858	4.868	4.879	4.889
24	4.899	4.909	4.919	4.930	4.940	4.950	4.960	4.970	4.980	4.990
25	5.000	5.010	5.020	5.030	5.040	5.050	5.060	5.070	5.079	5.089
26	5.099	5.109	5.119	5.128	5.138	5.148	5.158	5.167	5.177	5.187
27	5.196	5.206	5.215	5.225	5.235	5.244	5.254	5.263	5.273	5.282
28	5.292	5.301	5.310	5.320	5.329	5.339	5.348	5.357	5.367	5.376
29	5.385	5.394	5.404	5.413	5.422	5.431	5.441	5.450	5.459	5.468
30	5.477	5.486	5.495	5.505	5.514	5.523	5.532	5.541	5.550	5.559
31	5.568	5.577	5.586	5.595	5.604	5.612	5.621	5.630	5.639	5.648
32	5.657	5.666	5.675	5.683	5.692	5.701	5.710	5.718	5.727	5.736
33	5.745	5.753	5.762	5.771	5.779	5.788	5.797	5.805	5.814	5.822
34	5.831	5.840	5.848	5.857	5.865	5.874	5.882	5.891	5.899	5.908
35	5.916	5.925	5.933	5.941	5.950	5.958	5.967	5.975	5.983	5.992
36	6.000	6.008	6.017	6.025	6.033	6.042	6.050	6.058	6.066	6.075
37	6.083	6.091	6.099	6.107	6.116	6.124	6.132	6.140	6.148	6.156
38	6.164	6.173	6.181	6.189	6.197	6.205	6.213	6.221	6.229	6.237
39	6.245	6.253	6.261	6.269	6.277	6.285	6.293	6.301	6.309	6.317
40	6.325	6.332	6.340	6.348	6.356	6.364	6.372	6.380	6.387	6.395
41	6.403	6.411	6.419	6.427	6.434	6.442	6.450	6.458	6.465	6.473
42	6.481	6.488	6.496	6.504	6.512	6.519	6.527	6.535	6.542	6.550
43	6.557	6.565	6.573	6.580	6.588	6.595	6.603	6.611	6.618	6.626
44	6.633	6.641	6.648	6.656	6.663	6.671	6.678	6.686	6.693	6.701
45	6.708	6.716	6.723	6.731	6.738	6.745	6.753	6.760	6.768	6.775
46	6.782	6.790	6.797	6.804	6.812	6.819	6.826	6.834	6.841	6.848
47	6.856	6.863	6.870	6.877	6.885	6.892	6.899	6.907	6.914	6.921
48	6.928	6.935	6.943	6.950	6.957	6.964	6.971	6.979	6.986	6.993
49	7.000	7.007	7.014	7.021	7.029	7.036	7.043	7.050	7.057	7.064
50	7.071	7.078	7.085	7.092	7.099	7.106	7.113	7.120	7.127	7.134
51	7.141	7.148	7.155	7.162	7.169	7.176	7.183	7.190	7.197	7.204
52	7.211	7.218	7.225	7.232	7.239	7.246	7.253	7.259	7.266	7.273
53	7.280	7.287	7.294	7.301	7.308	7.314	7.321	7.328	7.335	7.342
54	7.348	7.355	7.362	7.369	7.376	7.382	7.389	7.396	7.403	7.409
55	7.416	7.423	7.430	7.436	7.443	7.450	7.457	7.463	7.470	7.477
56	7.483	7.490	7.497	7.503	7.510	7.517	7.523	7.530	7.537	7.543
57	7.550	7.556	7.563	7.570	7.576	7.583	7.589	7.596	7.603	7.609
58	7.616	7.622	7.629	7.635	7.642	7.649	7.655	7.662	7.668	7.675
59	7.681	7.688	7.694	7.701	7.707	7.714	7.720	7.727	7.733	7.740
60	7.746	7.752	7.759	7.765	7.772	7.778	7.785	7.791	7.797	7.804
61	7.810	7.817	7.823	7.829	7.836	7.842	7.849	7.855	7.861	7.868
62	7.874	7.880	7.887	7.893	7.899	7.906	7.912	7.918	7.925	7.931
63	7.937	7.944	7.950	7.956	7.962	7.969	7.975	7.981	7.987	7.994
64	8.000	8.006	8.012	8.019	8.025	8.031	8.037	8.044	8.050	8.056
65	8.062	8.068	8.075	8.081	8.087	8.093	8.099	8.106	8.112	8.118
66	8.124	8.130	8.136	8.142	8.149	8.155	8.161	8.167	8.173	8.179
67	8.185	8.191	8.198	8.204	8.210	8.216	8.222	8.228	8.234	8.240
68	8.246	8.252	8.258	8.264	8.270	8.276	8.283	8.289	8.295	8.301
69	8.307	8.313	8.319	8.325	8.331	8.337	8.343	8.349	8.355	8.361
70	8.367	8.373	8.379	8.385	8.390	8.396	8.402	8.408	8.414	8.420
71	8.426	8.432	8.438	8.444	8.450	8.456	8.462	8.468	8.473	8.479
72	8.485	8.491	8.497	8.503	8.509	8.515	8.521	8.526	8.532	8.538
73	8.544	8.550	8.556	8.562	8.567	8.573	8.579	8.585	8.591	8.597
74	8.602	8.608	8.614	8.620	8.626	8.631	8.637	8.643	8.649	8.654
75	8.660	8.666	8.672	8.678	8.683	8.689	8.695	8.701	8.706	8.712
76	8.718	8.724	8.729	8.735	8.741	8.746	8.752	8.758	8.764	8.769
77	8.775	8.781	8.786	8.792	8.798	8.803	8.809	8.815	8.820	8.826
78	8.832	8.837	8.843	8.849	8.854	8.860	8.866	8.871	8.877	8.883
79	8.888	8.894	8.899	8.905	8.911	8.916	8.922	8.927	8.933	8.939
80	8.944	8.950	8.955	8.961	8.967	8.972	8.978	8.983	8.989	8.994
81	9.000	9.006	9.011	9.017	9.022	9.028	9.033	9.039	9.044	9.050
82	9.055	9.061	9.066	9.072	9.077	9.083	9.088	9.094	9.099	9.105
83	9.110	9.116	9.121	9.127	9.132	9.138	9.143	9.149	9.154	9.160
84	9.165	9.171	9.176	9.182	9.187	9.192	9.198	9.203	9.209	9.214
85	9.220	9.225	9.230	9.236	9.241	9.247	9.252	9.257	9.263	9.268
86	9.274	9.279	9.284	9.290	9.295	9.301	9.306	9.311	9.317	9.322
87	9.327	9.333	9.338	9.343	9.349	9.354	9.359	9.365	9.370	9.375
88	9.381	9.386	9.391	9.397	9.402	9.407	9.413	9.418	9.423	9.429
89	9.434	9.439	9.445	9.450	9.455	9.460	9.466	9.471	9.476	9.482
90	9.487	9.492	9.497	9.503	9.508	9.513	9.518	9.524	9.529	9.534
91	9.539	9.545	9.550	9.555	9.560	9.566	9.571	9.576	9.581	9.586
92	9.592	9.597	9.602	9.607	9.612	9.618	9.623	9.628	9.633	9.638
93	9.644	9.649	9.654	9.659	9.664	9.670	9.675	9.680	9.685	9.690
94	9.695	9.701	9.706	9.711	9.716	9.721	9.726	9.731	9.737	9.742
95	9.747	9.752	9.757	9.762	9.767	9.772	9.778	9.783	9.788	9.793
96	9.798	9.803	9.808	9.813	9.818	9.823	9.829	9.834	9.839	9.844
97	9.849	9.854	9.859	9.864	9.869	9.874	9.879	9.884	9.889	9.894
98	9.899	9.905	9.910	9.915	9.920	9.925	9.930	9.935	9.940	9.945
99	9.950	9.955	9.960	9.965	9.970	9.975	9.980	9.985	9.990	9.995
